text,or_text
Listening to a divyang woman at the Hunar Haat was a source of fulfillment,ହୁନର୍ ହାଟରେ ଜଣେ ଦିବ୍ୟାଙ୍ଗ ମହିଳାଙ୍କ କଥାଶୁଣି ଖୁବ ସନ୍ତୋଷ ଅନୁଭବ ହେଲା
She told me that earlier she used to sell paintings on the pavement,"ସେ ମୋତେ କହିଲେ ଯେ, ଆଗରୁ ସେ ଫୁଟ୍‌ପାଥରେ ନିଜର କଳାକୃତି ବିକ୍ରି କରୁଥିଲେ"
Her life changed after she connected with Hunar Haat,କିନ୍ତୁ ହୁନର୍ ହାଟ ସହ ଯୋଡ଼ି ହେବାପରେ ତାଙ୍କର ଜୀବନ ବଦଳିଗଲା
"Today, she is not only self reliant; she has purchased a house too",ଆଜି ସେ କେବଳ ଆତ୍ମନିର୍ଭରଶୀଳ ହୋଇପାରିନାହାନ୍ତି ବରଂ ନିଜର ଗୋଟିଏ ଘର ମଧ୍ୟ କିଣିପାରିଛନ୍ତି
"At Hunar Haat, I got the opportunity to converse with many other artisans",ହୁନର୍ ହାଟରେ ମୋତେ ଆହୁରି କେତେକ କାରିଗରଙ୍କ ସହ ଭେଟିବା ଏବଂ ସେମାନଙ୍କ ସହ କଥା ହେବାର ସୁଯୋଗ ମିଳିଲା
I am told that over 50 per cent of the crafts persons participating at Hunar Haat are women,"ମୋତେ ସୂଚନା ଦିଆଯାଇଛି ଯେ, ହୁନର୍ ହାଟରେ ଅଂଶଗ୍ରହଣ କରିଥିବା କାରିଗରମାନଙ୍କ ମଧ୍ୟରୁ ପଚାଶ ପ୍ରତିଶତରୁ ଅଧିକ ମହିଳା ଏବଂ ବିଗତ ତିନିବର୍ଷ ଧରି ହୁନର୍ ହାଟ ମାଧ୍ୟମରେ ପାଖାପାଖି ତିନିଲକ୍ଷ କାରିଗରଙ୍କୁ ରୋଜଗାରର ଅନେକ ସୁଯୋଗ ମିଳିଛି"
"Also, during the last three years, through Hunar Haat, close to three lakh artisans & crafts persons have gained many opportunities of employment","ମୋତେ ସୂଚନା ଦିଆଯାଇଛି ଯେ, ହୁନର୍ ହାଟରେ ଅଂଶଗ୍ରହଣ କରିଥିବା କାରିଗରମାନଙ୍କ ମଧ୍ୟରୁ ପଚାଶ ପ୍ରତିଶତରୁ ଅଧିକ ମହିଳା ଏବଂ ବିଗତ ତିନିବର୍ଷ ଧରି ହୁନର୍ ହାଟ ମାଧ୍ୟମରେ ପାଖାପାଖି ତିନିଲକ୍ଷ କାରିଗରଙ୍କୁ ରୋଜଗାରର ଅନେକ ସୁଯୋଗ ମିଳିଛି"
"Hunar Haat, of course, is a platform showcasing art & craft; it is also lending wings to people's dreams","ହୁନର୍ ହାଟ କଳାର ପ୍ରଦର୍ଶନ ପାଇଁ ତ ଗୋଟିଏ ମଂଚ, ତା'ସହ ଏହା ଲୋକଙ୍କ ସ୍ୱପ୍ନକୁ ମଧ୍ୟ ବାସ୍ତବିକତାରେ ପରିଣତ କରୁଛି"
It is a venue where it is impossible to overlook the country's diversity,ଏହା ଏପରି ଏକ ଜାଗା ଯେଉଁଠି ଏ ଦେଶର ବିବିଧତାକୁ ଅଣଦେଖା କରିବା ଅସମ୍ଭବ
"Besides handicrafts, it displays the diversity of India's varied cuisine too","ଶିଳ୍ପକଳା ତ ରହିଛି, ତା' ସଙ୍ଗେ ସଙ୍ଗେ ରହିଛି ଆମମାନଙ୍କ ଖାଦ୍ୟପେୟର ବିବିଧତା"
"In a single row, one could savour the sight of Idli Dosa, Chhole Bhature, Daal Baati, Khaman Khandvi & what not","ସେଠାରେ ଗୋଟିଏ ଧାଡ଼ିରେ ଇଡଲିଦୋସା, ଛୋଲେଭଟୁରେ, ଦାଲ୍‌ବାଟି, ଖମଣ୍‌ଖାଣ୍ଡୱି କେଜାଣି କେତେ କ'ଣ ଥିଲା"
I thoroughly enjoyed having the delicious Litti Chokha of Bihar,ମୁଁ ନିଜେ ସେଠାରେ ବିହାରର ସୁସ୍ୱାଦୁ ଲିଟିଚୋଖା ଖାଇବାର ଭରପୂର ମଜା ନେଲି
"All over India, fairs & exhibitions such as this are organized from time to time",ଭାରତର ପ୍ରତ୍ୟେକ ଅଂଚଳରେ ଏଭଳି ମେଳା ତଥା ପ୍ରଦର୍ଶନୀଗୁଡ଼ିକର ଆୟୋଜନ ଚାଲିଥାଏ
"Whenever the opportunity arises, one should attend such events to know India, to experience India","ଭାରତକୁ ଜାଣିବା ପାଇଁ, ଭାରତକୁ ଅନୁଭବ କରିବା ପାଇଁ ଯେତେବେଳେ ବି ସୁଯୋଗ ମିଳେ ଏହାର ସଦୁପଯୋଗ କରିବା ଉଚିତ"
"Thus, not only would you be able to be a part of the country's artculture canvas; you will also contribute in the progress & prosperity of hardworking crafts persons, especially women","ଆପଣ ଯେ କେବଳ ଦେଶର କଳା ଓ ସଂସ୍କୃତି ସହ ଯୋଡ଼ିହେବେ ସେ କଥା ନୁହେଁ, ବରଂ ଆପଣ ଦେଶର ପରିଶ୍ରମୀ କାରିଗରମାନଙ୍କର, ବିଶେଷକରି ମହିଳାମାନଙ୍କ ସମୃଦ୍ଧିରେ ମଧ୍ୟ ନିଜର ଯୋଗଦାନ କରିପାରିବେ"
Do make it a point to visit,ନିଶ୍ଚୟ ଯାଆନ୍ତୁ
"My dear countrymen, our country is bestowed with great traditions","ମୋର ପ୍ରିୟ ଦେଶବାସୀଗଣ, ଆମ ଦେଶର ମହାନ ପରମ୍ପରାମାନ ରହିଛି"
"The legacy that we inherited from our ancestors, the knowledge & values that have permeated entail compassion toward each & every living being and boundless love for nature","ଆମର ପୂର୍ବପୁରୁଷମାନେ ଆମକୁ ଯାହା ଉତ୍ତରାଧିକାର ସୂତ୍ରରେ ଦେଇଯାଇଛନ୍ତି, ଯେଉଁ ଶିକ୍ଷାଦୀକ୍ଷା ଆମେ ପାଇଛୁ, ସେଥିରେ ପ୍ରତ୍ୟେକ ଜୀବ ପ୍ରତି ଦୟାଭାବ, ପ୍ରକୃତି ପ୍ରତି ଅସୀମ ଭଲପାଇବା ଭଳି କଥାସବୁ ଆମର ସାଂସ୍କୃତିକ ପରମ୍ପରା"
All this is a part of our cultural heritage,ପର୍ବପର୍ବାଣୀଗୁଡ଼ିକ ଆମ ଦେଶର ସାମାଜିକ ଜୀବନର ଅଭିନ୍ନ ଅଙ୍ଗ
"And to partake of this culture of hospitality in the Indian ethos, every year, numerous species of birds from across the world come to India","ତେଣୁ, ଭାରତର ଏହି ପରିବେଶର ଆତିଥ୍ୟ ଗ୍ରହଣ କରିବାକୁ ଦେଶବିଦେଶର ବିଭିନ୍ନ ପ୍ରକାରର ପକ୍ଷୀ ପ୍ରତିବର୍ଷ ଭାରତ ଆସିଥାନ୍ତି"
"Throughout the year, India is home to many migratory species",ଭାରତ ବର୍ଷସାରା ଅନେକ ବିଦେଶାଗତ ପକ୍ଷୀପ୍ରଜାତିମାନଙ୍କ ଆଶ୍ରୟସ୍ଥଳ ପାଲଟିଥାଏ
We are told that more than 500 varieties of birds fly in from varied regions,ପାଞ୍ଚଶହରୁ ମଧ୍ୟ ଅଧିକ ପ୍ରକାରର ପକ୍ଷୀ ପୃଥିବୀର ବିଭିନ୍ନ ଅଂଚଳରୁ ଆସିଥାନ୍ତି
"Recently, Gandhinagar was host to the COP 13 convention, where this phenomenon was mulled over, discussed and deliberated","ବିଗତ ଦିନରେ ଗାନ୍ଧୀନଗରରେ COP13 ସମ୍ମିଳନୀରେ ଏହି ବିଷୟରେ ବହୁତ ଆଲୋଚନା ହେଲା, ଚିନ୍ତା କରାଗଲା, ଚର୍ଚ୍ଚା ମଧ୍ୟ ହେଲା ଏବଂ ଭାରତର ପ୍ରୟାସଗୁଡ଼ିକର ବହୁତ ପ୍ରଶଂସା ମଧ୍ୟ କରାଗଲା"
India's efforts concerning the subject were lauded too,ଏହି ବିରାଟ କାର୍ଯ୍ୟକ୍ରମ ସହିତ ଜଡ଼ିତ ସମସ୍ତ ଲୋକଙ୍କୁ ମୁଁ ଅଭିନନ୍ଦନ ଜଣାଉଛି
"Friends, it is a matter of pride for us that for the next three years, India will chair the COP convention on migratory species","ବନ୍ଧୁଗଣ, ଏହା ଆମ ପାଇଁ ଗର୍ବର କଥା ଯେ, ଆଗାମୀ ତିନିବର୍ଷ ପାଇଁ ଭାରତ ଭ୍ରମଣଶୀଳ ପ୍ରଜାତିମାନଙ୍କ ଉପରେ ଆୟୋଜିତ ହେବାକୁ ଥିବା କପ୍‌ ସମ୍ମିଳନୀର ସଭାପତିତ୍ୱ କରିବ"
"Do send in your suggestions on lending more substance to this opportunity, making it more useful",ଏହି ସୁଯୋଗର ସଦୁପଯୋଗ କିପରି କରାଯାଇପାରେ ସେ ସମ୍ପର୍କରେ ନିଜର ମତାମତ ନିଶ୍ଚୟ ପଠାନ୍ତୁ
"While discussing the COP convention with you, an important piece of information connected with Meghalaya drew my attention",COPସମ୍ମିଳନୀରେ ଚାଲିଥିବା ଏହି ଆଲୋଚନା ମଧ୍ୟରେ ମୋ ଦୃଷ୍ଟି ମେଘାଳୟ ସହ ସମ୍ପୃକ୍ତ ଗୋଟିଏ ଗୁରୁତ୍ୱପୂର୍ଣ୍ଣ ତଥ୍ୟ ଆଡ଼କୁ ଗଲା
"Very recently, biologists have discovered a new species of fish whose habitat is within the caves of Meghalaya","ନିକଟ ଅତୀତରେ ପ୍ରାଣୀବିଜ୍ଞାନୀମାନେ ମାଛର ଗୋଟିଏ ନୂତନ ପ୍ରଜାତି ଆବିଷ୍କାର କରିଛନ୍ତି, ଯାହା କେବଳ ମେଘାଳୟର ଗୁମ୍ଫାଗୁଡ଼ିକରେ ଦେଖାଯାଇଥାନ୍ତି"
It is believed that this fish is the largest among aquatic species found under the surface of caves,ଏହି ମାଛ ଗୁମ୍ଫାମାନଙ୍କର ଭୂମି ତଳେ ରହୁଥିବା ଜଳଚର ପ୍ରାଣୀମାନଙ୍କ ପ୍ରଜାତି ମଧ୍ୟରେ ସବୁଠାରୁ ବଡ଼ ବୋଲି ବିଶ୍ୱାସ କରାଯାଏ
"It lives in deep, dark underground caves, with little chance of light reaching in",ଏହି ମାଛ ଏଭଳି ଗଭୀର ଏବଂ ଅନ୍ଧାରୁଆ ଗୁମ୍ଫାଗୁଡ଼ିକରେ ବାସ କରେ ଯେଉଁଠାରେ ହୁଏତ ଆଲୋକ ମଧ୍ୟ ପହଂଚିପାରୁନଥିବ
Scientists are perplexed at the ability of this large fish to survive in such deep caves,ଏତେ ବଡ଼ ମାଛ ଏଭଳି ଗଭୀର ଗୁମ୍ଫାଗୁଡ଼ିକରେ କିଭଳି ବଂଚିପାରୁଛି ଏକଥାକୁ ନେଇ ବୈଜ୍ଞାନିକମାନେ ମଧ୍ୟ ଆଶ୍ଚର୍ଯ୍ୟ ପ୍ରକଟ କରିଛନ୍ତି
"It is a matter of joy that our India, and especially Meghalaya is home to a rare species",ଆମ ଭାରତ ଏବଂ ବିଶେଷକରି ମେଘାଳୟ ଗୋଟିଏ ଦୁର୍ଲ୍ଲଭ ପ୍ରଜାତିର ବାସସ୍ଥାନ ହୋଇଥିବା ଏକ ସୁଖକର ବିଷୟ
It lends a new facet to India's biodiversity,ଏହା ଭାରତର ଜୈବ ବିବିଧତାକୁ ଏକ ନୂତନ ପରିଚୟ ଦେବାକୁ ଯାଉଛି
"We are surrounded by many such mysteries, which are still undiscovered","ଆମ ଆଖପାଖରେ ଏତେଗୁଡ଼ିଏ ଆଶ୍ଚର୍ଯ୍ୟଜନକ କଥା ରହିଛି ଯାହା, ଏବେ ମଧ୍ୟ ଆମ ପାଇଁ ଅଜଣା"
To discover such a phenomenal enigma calls for fierce detective passion,ଏହିସବୁ ଆଶ୍ଚର୍ଯ୍ୟକୁ ଖୋଜି ବାହାର କରିବା ପାଇଁ ଦୃଢ଼ ଅନୁସନ୍ଧିତ୍ସୁ ମନୋଭାବ ଆବଶ୍ୟକ
"The great Tamil poetess Avvaiyar writes Kattat Kemaavoon Kalladaru Udgadvu, Kaddat Kamiyan Adva Kalladar Olaaadu","ମହାନ ତାମିଲ କବୟିତ୍ରୀ ଅବୈୟାର୍ ଲେଖିଛନ୍ତି, ""କଟରଦୁ କୈମଣ ଅଲୱେ ଆନାଲୁମ୍‌, କଲ୍ଲାଦଦୁ ଉଲଗଲବୁ"
"This means, what we know is but just a handful of sand; what we do not know is like a universe in itself","ଏହାର ଅର୍ଥ ହେଲା ଆମେ ଯାହା ଜାଣିଛୁ, ତାହା ମାତ୍ର ମୁଠାଏ ବାଲି ସଦୃଶ"
Similar is the case with the biodiversity of this country,ଏହା ଭାରତର ଜୈବ ବିବିଧତାକୁ ଏକ ନୂତନ ପରିଚୟ ଦେବାକୁ ଯାଉଛି
"The more you know, the more you realize the magnitude of what you do not know","ଆମ ଆଖପାଖରେ ଏତେଗୁଡ଼ିଏ ଆଶ୍ଚର୍ଯ୍ୟଜନକ କଥା ରହିଛି ଯାହା, ଏବେ ମଧ୍ୟ ଆମ ପାଇଁ ଅଜଣା"
Our biodiversity too is a unique treasure for the entire human kind,ଏହା ଭାରତର ଜୈବ ବିବିଧତାକୁ ଏକ ନୂତନ ପରିଚୟ ଦେବାକୁ ଯାଉଛି
"We have to preserve it, conserve it & explore further","ଆମର ଜୈବବିବିଧତା ମଧ୍ୟ ସମଗ୍ର ମାନବ ଜାତି ପାଇଁ ଜ୍ଞାନର ଗୋଟିଏ ଗନ୍ତାଘର, ଯାହାକୁ ଆମେ ସାଇତି କରି ରଖିବାକୁ ହେବ, ସଂରକ୍ଷିତ କରି ରଖିବାକୁ ହେବ ଆଉ ଏହା ସମ୍ପର୍କରେ ଅଧିକ ଅନୁସନ୍ଧାନ ମଧ୍ୟ କରିବାକୁ ପଡ଼ିବ"
"My dear young friends, children & the youth in India are increasingly taking a keen interest in Science & Technology","ମୋର ପ୍ରିୟ ଯୁବ ବନ୍ଧୁଗଣ, ଆଜିକାଲି ଆମ ଦେଶର ପିଲାମାନଙ୍କ ମଧ୍ୟରେ, ଯୁବବର୍ଗଙ୍କ ମନରେ ବିଜ୍ଞାନ ଓ ପ୍ରଯୁକ୍ତିବିଦ୍ୟା ପ୍ରତି ଆଗ୍ରହ ନିରନ୍ତର ଭାବେ ବଢ଼ିଚାଲିଛି"
"Record satellite launches into space, new records, new missions fills up every Indian heart with a sense of pride","ମହାକାଶରେ ରେକର୍ଡ଼ ସଂଖ୍ୟକ ଉପଗ୍ରହ ପ୍ରେରଣ, ନୂଆ ନୂଆ ରେକର୍ଡ଼, ନୂଆ ନୂଆ ଅଭିଯାନ ପ୍ରତ୍ୟେକ ଭାରତୀୟଙ୍କ ମନ ଗର୍ବରେ ଭରିଦିଏ"
"When I was in Bengaluru during Chandrayan2, I witnessed immense enthusiasm & fervor on the part of the children present there","ଚନ୍ଦ୍ରଯାନ2 ସମୟରେ ଯେତେବେଳେ ମୁଁ ବେଙ୍ଗାଲୁରୁରେ ଥିଲି, ସେତେବେଳେ ପିଲାମାନଙ୍କ ଉତ୍ସାହ ଦେଖିଲା ଭଳି ଥିଲା"
There was no sign of drowsiness from any angle,ସେମାନଙ୍କ ଆଖିରେ ନିଦ ନ ଥିଲା
"In a way, they kept awake throughout the night",ସେମାନେ ସାରା ରାତି ଉଜାଗର ରହିଥିଲେ
"One can never forget their inquisitiveness when it came to Science, Technology and Innovation",ସେଥିରେ ବିଜ୍ଞାନ କାରିଗରୀବିଦ୍ୟା ଓ ନବୋନ୍ମେଷକୁ ନେଇ ଯେଉଁ ଉତ୍ସୁକତା ଥିଲା ତାହା ଆମେ କେବେହେଲେ ଭୁଲିପାରିବା ନାହିଁ
"To give a fillip to this very enthusiasm in children & young people; to encourage scientific temper in them, another system has been put in place","ପିଲା ଏବଂ ଯୁବବର୍ଗଙ୍କ ଏହି ଉତ୍ସାହକୁ ବୃଦ୍ଧି କରିବା ପାଇଁ, ସେମାନଙ୍କ ମଧ୍ୟରେ ବୈଜ୍ଞାନିକ ଚିନ୍ତାଧାରା ବୃଦ୍ଧି କରିବା ପାଇଁ ଆଉ ଗୋଟିଏ ବ୍ୟବସ୍ଥା ଆରମ୍ଭ କରାଯାଇଛି"
"You can now sit & watch rocket launching at Sriharikota, taking place in front of your own eyes",ଏବେ ଆପଣମାନେ ଶ୍ରୀହରିକୋଟାରୁ ହେଉଥିବା ରକେଟ୍ ଲଂଚିଙ୍ଗକୁ ସାମ୍ନାରେ ବସି ଦେଖିପାରିବେ
"Recently, the facility has been made open for all",ନିକଟ ଅତୀତରେ ଏହାକୁ ସମସ୍ତଙ୍କ ପାଇଁ ଉନ୍ମୁକ୍ତ କରିଦିଆଯାଇଛି
"A visitors' gallery has been erected, large enough to seat 10 thousand people","ଦର୍ଶନକାରୀଙ୍କ ପାଇଁ ଗ୍ୟାଲେରୀ ନିର୍ମାଣ କରାଯାଇଛି, ଯେଉଁଥିରେ 10 ହଜାର ଲୋକଙ୍କ ବସିବାର ବ୍ୟବସ୍ଥା କରାଯାଇଛି"
Online booking is also possible through a link provided on ISRO's website,ଇସ୍ରୋର ୱେବ୍‌ସାଇଟରେ ଦିଆଯାଇଥିବା ଲିଙ୍କ୍ ଜରିଆରେ ଅନ୍‌ଲାଇନ୍ ବୁକିଂ ମଧ୍ୟ କରିପାରିବେ
I am told that many schools are arranging tour for their students to show them rocket launching and motivate them,"ମୋତେ ସୂଚନା ଦିଆଯାଇଛି ଯେ, ଅନେକ ସ୍କୁଲ ନିଜ ଛାତ୍ରଛାତ୍ରୀଙ୍କୁ ରକେଟ୍ ଲଂଚିଙ୍ଗ୍ ଦେଖାଇବା ପାଇଁ ଏବଂ ସେମାନଙ୍କୁ ପ୍ରେରଣା ଯୋଗାଇବା ପାଇଁ ପରିଭ୍ରମଣରେ ମଧ୍ୟ ସେଠାକୁ ନେଇଯାଉଛନ୍ତି"
I urge the Principals & teachers of all schools that they should avail of this benefit in times to come,ଆଗାମୀ ଦିନମାନଙ୍କରେ ଏହି ବ୍ୟବସ୍ଥାର ଲାଭ ଉଠାଇବା ପାଇଁ ମୁଁ ସମସ୍ତ ସ୍କୁଲର ପ୍ରିନ୍ସିପାଲ୍ ଏବଂ ଶିକ୍ଷକମାନଙ୍କୁ ନିବେଦନ କରୁଛି
"Friends, I would like to convey to you another exciting piece of information","ବନ୍ଧୁଗଣ, ମୁଁ ଆପଣମାନଙ୍କୁ ଆଉ ଗୋଟିଏ ରୋମାଂଚକର ସୂଚନା ଦେବାକୁ ଚାହୁଁଛି"
"I'd read the comment of Paras from Dhanbad, Jharkhand on Namo App",ମୁଁ ନମୋ ଆପ୍‌ରେ ଝାଡ଼ଖଣ୍ଡର ଧାନବାଦ ବାସିନ୍ଦା ପାରସଙ୍କ ପ୍ରତିକ୍ରିୟା ପଢ଼ିଲି
Paras wants me to tell our young friends about ISRO's 'Yuvika' programme,ଯୁବବନ୍ଧୁଙ୍କୁ ଇସ୍ରୋର ୟୁବିକା ୟୁଭିକ କାର୍ଯ୍ୟକ୍ରମ ସମ୍ପର୍କରେ ମୁଁ ଜଣାଇବା ପାଇଁ ସେ ଚାହୁଁଛନ୍ତି
'Yuvika' is a very commendable effort on part of ISRO to integrate the youth with science,ଯୁବବର୍ଗଙ୍କୁ ବିଜ୍ଞାନ ସହ ଯୋଡ଼ିବା ପାଇଁ ୟୁବିକା ଇସ୍ରୋର ଗୋଟିଏ ପ୍ରଶଂସନୀୟ ପ୍ରଚେଷ୍ଟା
This program was launched for school students in the year 2019,2019ରେ ଏହି କାର୍ଯ୍ୟକ୍ରମ ସ୍କୁଲ ଛାତ୍ରଛାତ୍ରୀଙ୍କ ପାଇଁ ଆରମ୍ଭ କରାଯାଇଥିଲା
"'Yuvika' is an acronym for ' Yuva Vigyani Karyakram and this program is in consonance with our vision, ""Jai Jawan, Jai Kisan, Jai Vigyan, Jai Anusandhaan'","ଏହି କାର୍ଯ୍ୟକ୍ରମ ଆମର ଭିଜନ୍ ଜୟ ଯବାନ୍‌, ଜୟ କିଷାନ୍‌, ଜୟ ବିଜ୍ଞାନ, ଜୟ ଅନୁସନ୍ଧାନର ଅନୁରୂପ"
"In this programme, students, after their exams, during their holidays, visit different centres of ISRO and learn about Space Technology, Space Science and Space Applications","ଏହି କାର୍ଯ୍ୟକ୍ରମରେ ନିଜ ପରୀକ୍ଷା ପରେ ଛୁଟିରେ ଛାତ୍ରଛାତ୍ରୀମାନେ ଇସ୍ରୋର ବିଭିନ୍ନ କେନ୍ଦ୍ରକୁ ଯାଇ ସ୍ପେସ୍ ଟେକ୍ନୋଲୋଜି, ସ୍ପେସ୍ ସାଇନ୍ସ ଏବଂ ସ୍ପେସ୍ ଆପ୍ଲିକେଶନ୍ ବିଷୟରେ ଶିକ୍ଷାଲାଭ କରନ୍ତି"
"If you want to know how training is imparted, what its nuances are, how exciting it is, then you must read the experience of those who have attended its earlier sessions","ଆପଣ ଯଦି ଏକଥା ଜାଣିବାକୁ ଚାହୁଁଛନ୍ତି ଯେ, ଏହି ତାଲିମ କିଭଳି, କେଉଁ ପ୍ରକାରର ଏବଂ କେତେ ରୋମାଂଚକର? ତେବେ ଯେଉଁମାନେ ଗତଥର ଏଥିରେ ଅଂଶଗ୍ରହଣ କରିଛନ୍ତି, ସେମାନଙ୍କ ଅନୁଭୂତି ନିଶ୍ଚୟ ପଢ଼ନ୍ତୁ"
"If you wish to be a participant of this training, you can register by visiting the website of 'Yuvika' linked to that of ISRO","ଯଦି ଆପଣ ନିଜେ ଏଥିରେ ଭାଗନେବାକୁ ଚାହୁଁଛନ୍ତି, ତାହେଲେ ଇସ୍ରୋ ସହ ସଂଲଗ୍ନ ୟୁବିକାର ୱେବସାଇଟକୁ ଯାଇ ନିଜ ନାମ ମଧ୍ୟ ପଞ୍ଜିକୃତ କରାଇପାରନ୍ତି"
"My young friends, I'm telling you the name of the website which you can write down, and must visit today itself","ମୋର ଯୁବ ବନ୍ଧୁଗଣ, ଆପଣମାନଙ୍କ ପାଇଁ ମୁଁ କହିଦେଉଛି, ୱେବସାଇଟର ନାଁ ଆପଣ ଟିପି ରଖନ୍ତୁ ଆଉ ଆଜି ହିଁ ଏହି ସାଇଟକୁ ଭିଜିଟ୍ କରନ୍ତୁ"
It is www,""""
yuvika,""""
isro,""""
gov,""""
in,""""
Have you written it down,""""
"My dear countrymen, the beautiful valleys of Ladakh witnessed a momentous event on the 31st of January 2020, for History was made when an Indian Air Force AN32 aircraft took off from Leh's Kushok Bakula Rimpoche Airport","ଲେହର କୁଶୋକ୍ ବାକୁଲା ରିମ୍ପୋଚି ଏୟାରପୋର୍ଟରୁ ଭାରତୀୟ ବାୟୁସେନାର ଇଘ32 ବିମାନ ଯେତେବେଳେ ଉଡ଼ାଣ ଆରମ୍ଭ କଲା, ସେତେବେଳେ ଗୋଟିଏ ନୂତନ ଇତିହାସ ସୃଷ୍ଟି ହେଲା"
A mixture of 10% Indian Biojet fuel was used in this flight and this was the first time that this mix was used in both engines,ଏହି ଉଡ଼ାଣରେ 10 ପ୍ରତିଶତ ଭାରତୀୟ ବାୟୋଜେଟ୍ ଇନ୍ଧନର ମିଶ୍ରଣ କରାଯାଇଥିଲା
"Not just that, but the airport from which this plane took off from Leh is not only one of the highest altitude airports in India but also in the world","କେବଳ ସେତିକି ନୁହେଁ, ଲେହର ଯେଉଁ ବିମାନ ବନ୍ଦର ଉପରେ ଏହି ବିମାନ ଉଡ଼ିଲା ତାହା କେବଳ ଭାରତର ନୁହେଁ ବରଂ ବିଶ୍ୱର ସବୁଠାରୁ ଅଧିକ ଉଚ୍ଚତାରେ ରହିଥିବା ବିମାନ ବନ୍ଦରଗୁଡ଼ିକ ମଧ୍ୟରେ ଅନ୍ୟତମ"
"Notably, the biojet fuel is prepared from nonedible tree borne oil","ଗୁରୁତ୍ୱପୂର୍ଣ୍ଣ କଥାଟି ହେଲା ଯେ, ବାୟୋଜେଟ୍‌ fuelKê ନନଡିବଲ୍‌ ତ୍ରୀ ବୋର୍ନ oilରୁ ପ୍ରସ୍ତୁତ କରାଯାଇଛି"
It is procured from various tribal areas of India,ଏହାକୁ ଭାରତର ବିଭିନ୍ନ ଆଦିବାସୀ ଅଂଚଳରୁ କ୍ରୟ କରାଯାଇଥାଏ
These efforts will not only reduce carbon emissions but may also reduce India's dependence on crude oil imports,"ଏହି ପ୍ରଚେଷ୍ଟା ଫଳରେ କେବଳ ଯେ କାର୍ବନ ନିର୍ଗମନ ହ୍ରାସ ପାଇବ ତାହା ନୁହେଁ, ବରଂ ଅଶୋଧିତ ତୈଳର ଆମଦାନୀ ଉପରେ ମଧ୍ୟ ଭାରତର ନିର୍ଭରତା ହ୍ରାସ ପାଇବ"
"I congratulate all the people involved in this significant mission, especially the scientists of CSIR and Indian Institute of Petroleum, Dehradun, who made it possible to develop the technology to fly an aircraft with biofuel","ବିଶେଷକରି ସିଏସଆଇଆର, ଇଣ୍ଡିଆନ୍‌ ଇନଷ୍ଟିଚ୍ୟୁଟ୍‌ ଓଏଫ୍‌ ପେଟ୍ରୋଲିୟମ୍‌, Dehradunର ବୈଜ୍ଞାନିକମାନଙ୍କୁ, ଯେଉଁମାନେ ବାୟୋଫୁଏଲ୍‌ ସାହାଯ୍ୟରେ ବିମାନ ଉଡ଼ାଇବାର କୌଶଳକୁ ସମ୍ଭବ କରିଦେଲେ"
Their efforts also empower the 'Make in India' mission,ତାଙ୍କର ଏହି ପ୍ରଚେଷ୍ଟା ମେକ୍‌ ଆଇଏନ ଇଣ୍ଡିଆ ଗବଳର ସଦ୍ଭ ଓଦ୍ଭୟସବକୁ ମଧ୍ୟ ସଶକ୍ତ କରୁଛି
"My dear countrymen, our new India is not willing to tag along with the old approach","ମୋର ଦେଶବାସୀଗଣ, ଆମର ନୂଆ ଭାରତ ଆଉ ପୁରୁଣା ରାସ୍ତାରେ ଚାଲିବାକୁ ପ୍ରସ୍ତୁତ ନୁହେଁ"
"In particular, our sisters and mothers of New India are going ahead and grasping the challenges hands on thus setting a pace for a positive transformation in the entire society","ବିଶେଷକରି ନ୍ୟୁ Indiaର ଆମର ମା' ଓ ଭଉଣୀମାନେ ଆଗକୁ ଆସି ସେହି ଆହ୍ୱାନଗୁଡ଼ିକର ମୁକାବିଲା କରିବା ଆରମ୍ଭ କଲେଣି, ଯାହାଦ୍ୱାରା ସମାଜରେ ଏକ ସକାରାତ୍ମକ ପରିବର୍ତ୍ତନ ଦେଖିବାକୁ ମିଳୁଛି"
The region of Purnia in Bihar is an inspiration for people across the country,ବିହାର ପୂର୍ଣ୍ଣିୟାର କଥା ସାରା ଦେଶର ଲୋକଙ୍କ ମନରେ ପ୍ରେରଣା ସୃଷ୍ଟି କଲାଭଳି
This area has been grappling with the havoc caused by floods for decades together,ଏହା ଏପରି ଏକ ଅଂଚଳ ଯାହା ଦଶନ୍ଧିଦଶନ୍ଧି ଧରି ଭୟଙ୍କର ବନ୍ୟା ପ୍ରପୀଡ଼ିତ ହୋଇଆସିଛି
"In this backdrop, it has been very difficult to do farming and mobilize other sources of income",ଏପରିସ୍ଥଳେ ଏଠାରେ କୃଷି କରିବା କିମ୍ବା ଆୟର ଅନ୍ୟ ପନ୍ଥା ଯୋଗାଡ଼ କରିବା ଅସମ୍ଭବ ହୋଇଥାଏ
"But under these very circumstances, some women of Purnia chose a different path",କିନ୍ତୁ ଏଭଳି ପରିସ୍ଥିତିରେ ମଧ୍ୟ ପୂର୍ଣ୍ଣିୟାର କେତେକ ମହିଳା ଏକ ଭିନ୍ନ ରାସ୍ତା ବାଛିନେଲେ
