text,te_text
She urges that I should discuss in Mann ki Baat the enthusiasm visible in the elderly of the household regarding the vaccine,టీకా తీసుకోవడంపై వృద్ధులు చూపిన ఉత్సాహం గురించి 'మన్ కి బాత్' లో నేను చర్చించాలని వారు అన్నారు
"Friends, it is right, as well...we are getting to hear such news from all corners of the country; we are seeing such pictures that touch our hearts",దేశంలోని ప్రతి మూల నుండి మనం అలాంటి వార్తలను వింటున్నాం
"109 year old elderly mother from Jaunpur UP, Ram Dulaiya ji has taken the vaccination; similarly 107 year old Kewal Krishna ji in Delhi has taken the dose of the vaccine",యూపీలోని జౌన్‌పూర్‌లో 109 ఏళ్ల వృద్ధురాలు రామ్ దులైయా గారు టీకా తీసుకున్నారు
100 year old Jai Chaudhary from Hyderabad has taken the vaccine and it's an appeal to all to take the vaccine,హైదరాబాద్‌లో 100 సంవత్సరాల వయసున్న జై చౌదరి టీకా తీసుకోవాడమే కాకుండా అందరూ టీకా తప్పనిసరిగా తీసుకోవాలని అందరికీ విజ్ఞప్తి కూడా చేశారు
I am observing on Twitter Facebook how after getting the vaccine for the elderly of their homes people are uploading their pictures,"టీకాలు వేసిన తర్వాత ప్రజలు తమ పెద్దల ఫోటోలను ఎలా అప్‌లోడ్ చేస్తున్నారో నేను ట్విట్టర్ లో, ఫేస్‌బుక్‌లో చూస్తున్నాను"
A youth Anandan Nair from Kerala in fact has given a new term to this 'Vaccine service',కేరళకు చెందిన ఆనందన్ నాయర్ అనే యువకుడు దీనికి 'వాక్సిన్ సేవ' అనే కొత్త పదాన్ని ఇచ్చారు
"Similar messages have been sent by Shivani from Delhi, Himanshu from Himachal and many other youths","ఇలాంటి సందేశాలను ఢిల్లీ కి చెందిన శివానీ, హిమాచల్ నుండి హిమాన్షు , ఇంకా చాలా మంది ఇతర యువకులు పంపారు"
I appreciate these thoughts of all you listeners,మీ శ్రోతలందరి అభిప్రాయాలను నేను అభినందిస్తున్నాను
"Amidst all these, do remember the mantra to fight corona dawaayibhikadaayibhi",వీటన్నిటి మధ్యలో కరోనాతో పోరాట మంత్రాన్ని గుర్తుంచుకోండి 'మందులు కూడా కఠినమైన ముందు జాగ్రత్తలు కూడా' 'దవాయీ భీ కడాయి భీ'
"It is not that I have to just say; we have to live too, speak too, tell too and keep making people committed to 'dawayibhikadayeebhi' too",వీటన్నిటి మధ్యలో కరోనాతో పోరాట మంత్రాన్ని గుర్తుంచుకోండి 'మందులు కూడా కఠినమైన ముందు జాగ్రత్తలు కూడా' 'దవాయీ భీ కడాయి భీ'
"My dear countrymen, today I have to thank Soumya ji who lives in Indore",నా ప్రియమైన దేశవాసులారా! ఇండోర్‌లో నివసిస్తున్న సౌమ్య గారికి ఈ రోజు నేను కృతజ్ఞతలు చెప్పాలి
She has drawn my attention to a subject and urged me to mention it in 'Man kiBaat',దాన్ని మన్ కి బాత్ లో ప్రస్తావించమని కోరారు
This subject is the new record of Indian cricketer MitaaliRaaj,ఈ అంశం క్రికెటర్ మిథాలీ రాజ్ గారి కొత్త రికార్డు
Recently MitaaliRaaj ji has become the first Indian woman cricketer to have made ten thousand runs,"అంతర్జాతీయ క్రికెట్‌లో 10,000 పరుగులు చేసిన తొలి భారత మహిళా క్రికెటర్‌గా మిథాలీ గారు ఇటీవల రికార్డు సాధించారు"
Many congratulations to her on this achievement,"ఈ సందర్భంగా మీకు అభినందనలు"" అని"
She also is the only international woman player to score seven thousand runs in one day internationals,వన్డే ఇంటర్నేషనల్స్‌లో ఏడు వేల పరుగులు చేసిన ఏకైక అంతర్జాతీయ మహిళా క్రీడాకారిణి ఆమె
Her contribution in the field of women's cricket is fabulous,మహిళల క్రికెట్ రంగంలో ఆమె అందించిన సేవలు చాలా గొప్పవి
Mitali Raj ji has inspired millions during her more than two decades long career,రెండు దశాబ్దాలకు పైగా కెరీర్‌లో మిథాలీ రాజ్ లక్షలాది మందికి స్ఫూర్తినిచ్చారు
The story of her perseverance and success is an inspiration not just for women cricketers but for men cricketers too,"ఆమె కఠోర శ్రమ, విజయ గాథ మహిళా క్రికెటర్లకు మాత్రమే కాదు పురుష క్రికెటర్లకు కూడా ప్రేరణగా నిలుస్తుంది"
"Friends, it is interesting... in the month of March itself, when we were celebrating women's day, many women players secured records and medals in their name","మిత్రులారా! ఇది ఆసక్తికరంగా ఉంది ఇదే మార్చి నెలలో మనం మహిళా దినోత్సవాన్ని జరుపుకుంటున్నప్పుడు చాలా మంది మహిళా క్రీడాకారులు పతకాలు, రికార్డులు సాధించారు"
India bagged the top position during the ISSF World Cup shooting organised at Delhi,ఢిల్లీ లో జరిగిన ఐఎస్ఎస్ఎఫ్‌ ప్రపంచ కప్ షూటింగ్‌లో భారత్ అగ్రస్థానంలో ఉంది
India also topped the Gold Medals tally,బంగారు పతకాల సంఖ్య పరంగా కూడా భారత్ ముందుంది
This was possible because of the fabulous display by Indian women and men shooters,"భారత దేశానికి చెందిన మహిళా షూటర్లు, పురుష షూటర్ల గొప్ప ప్రదర్శన కారణంగా మాత్రమే ఇది సాధ్యమైంది"
Meanwhile P V Sindhu ji has won the Silver Medal in the BWF Swiss Open Super 300 Tournament,బిడబ్ల్యుఎఫ్ స్విస్ ఓపెన్ సూపర్ 300 టోర్నమెంట్‌లో పివి సింధు రజత పతకం సాధించారు
"Today, from education to entrepreneurship, armed forces to science and technology, the country's daughters are making a distinct mark everywhere","చదువు నుండి సంస్థల వ్యవస్థాపకత వరకు, సాయుధ దళాల నుండి సైన్స్ & టెక్నాలజీ వరకు, దేశంలోని ఆడపిల్లలు తమదైన గుర్తింపును పొందుతున్నారు"
I am especially happy that daughters are making a new place for themselves in sports,యువతులు క్రీడలను తమ గమ్యస్థానంగా చేసుకోవడం నాకు చాలా సంతోషంగా ఉంది
Sports is coming up as a preferred choice in professional choices,ప్రొఫెషనల్ ఛాయిస్‌గా క్రీడలు అభివృద్ధి చెందుతున్నాయి
"My dear countrymen, do you remember the Maritime India Summit held sometime ago",నా ప్రియమైన దేశవాసులారా! కొంతకాలం క్రితం జరిగిన మారిటైమ్ ఇండియా సమ్మిట్ మీకు గుర్తుందా? ఈ శిఖరాగ్ర సమావేశంలో నేను చెప్పిన విషయం మీకు గుర్తుందా? సహజమే
Do you remember what I had said at this summit,నా ప్రియమైన దేశవాసులారా! కొంతకాలం క్రితం జరిగిన మారిటైమ్ ఇండియా సమ్మిట్ మీకు గుర్తుందా? ఈ శిఖరాగ్ర సమావేశంలో నేను చెప్పిన విషయం మీకు గుర్తుందా? సహజమే
"Naturally, so many programmes keep happening, so many things get said, how does one remember all and how does one pay attention either... naturally",ఇన్నింటి మధ్యలో ప్రతి విషయం ఎలా గుర్తుంటుంది? ప్రతి విషయమూ ఎలా గుర్తుకు వస్తుంది? ఎక్కువ శ్రద్ధ ఎలా ఉంటుంది? ఇది సహజం
But I felt nice that Guru Prasad ji carried forward one of my requests with interest,కానీ నా అభ్యర్ధనలలో ఒకదాన్ని గురు ప్రసాద్ గారు ఎంతో ఆసక్తితో ముందుకు తీసుకెళ్లడం నాకు నచ్చింది
"At this summit, I had talked of developing tourism facilities around the light house complexes in the country",దేశంలోని లైట్ హౌస్ కాంప్లెక్స్‌ల చుట్టూ పర్యాటక సౌకర్యాలను అభివృద్ధి చేయడం గురించి ఈ శిఖరాగ్ర సమావేశంలో మాట్లాడాను
Guru Prasad ji has shared experiences of his travel in 2019 to two light houses Chennai light house and Mahabalipuram light house,"తమిళనాడులోని రెండు లైట్ హౌస్ లు చెన్నై లైట్ హౌస్, మహాబలిపురం లైట్ హౌస్ లకు 2019లో తాను జరిపిన పర్యటన గురించి గురు ప్రసాద్ గారు తన అనుభవాలను పంచుకున్నారు"
He has shared very interesting facts which will astonish even the listeners of 'Man kiBaat','మన్ కీ బాత్' శ్రోతలను కూడా ఆశ్చర్యపరిచే చాలా ఆసక్తికరమైన విషయాలను ఆయన పంచుకున్నారు
"For example, Chennai light house is one of those select light houses of the world which have elevators",ఉదాహరణకు ఎలివేటర్ ఉన్న ప్రపంచంలోని కొన్ని లైట్ హౌస్‌లలో చెన్నై లైట్ హౌస్ ఒకటి
"Not only this, it is also the only light house in India which is within the city limits",భారతదేశంలో నగర పరిధిలో ఉన్న ఏకైక లైట్ హౌస్ ఇది
It has solar panels too for electricity,ఇందులో విద్యుత్ కోసం సోలార్ ప్యానెళ్లు కూడా ఉన్నాయి
"Guru Prasad ji also talked about the heritage Museum of the light house, which brings forth the history of marine navigation",మెరైన్ నావిగేషన్ చరిత్రను తెలిపే లైట్ హౌస్ హెరిటేజ్ మ్యూజియం గురించి కూడా గురు ప్రసాద్ గారు తెలిపారు
"Giant wicks of oil lamps, kerosene lights, petroleum vapour, and electric lamps that were used in olden times are exhibited at the museum","మ్యూజియంలో నూనెతో వెలిగే దీపాలను, కిరోసిన్ లైట్లను, పెట్రోలియం ఆవిరి దీపాలను, పాతకాలపు విద్యుత్ దీపాలను ప్రదర్శిస్తారు"
Guru Prasad ji has also written in detail about the oldest light house of India Mahabalipuram light house,భారతదేశపు పురాతన లైట్ హౌస్ మహాబలిపురం లైట్ హౌస్ గురించి గురు ప్రసాద్ గారు వివరంగా రాశారు
He says that beside this light house there is the 'Ulkaneshwar' temple built hundreds of years ago by Pallava king MahendraVerman First,ఈ లైట్ హౌస్ పక్కన పల్లవ రాజు మొదటి మహేంద్ర వర్మ వందల సంవత్సరాల క్రితం నిర్మించిన 'ఉల్కనేశ్వర' ఆలయం ఉందని ఆయన అంటున్నారు
"Friends, I have talked of different aspects of tourism several times during 'Man kiBaat', but these light houses are unique in terms of tourism",మిత్రులారా! 'మన్ కి బాత్' సందర్భంగా పర్యాటక రంగం గురించి నేను చాలాసార్లు మాట్లాడాను
Because of their grand structures light houses have always been centres of attraction for people,అద్భుతమైన నిర్మాణాల కారణంగా లైట్ హౌసెస్ ప్రజలను ఎల్లప్పుడూ ఆకర్షించే కేంద్రాలుగా ఉన్నాయి
To promote tourism 71 light houses have been identified in India too,పర్యాటకాన్ని ప్రోత్సహించడానికి భారతదేశంలో 71 లైట్ హౌజులను ఎంపిక చేశాం
"In all these light houses, depending on their capacities, museums, amphitheatres, open air theatres, cafeterias, children's parks, eco friendly cottages and landscaping will bebuilt","మ్యూజియం, యాంఫిథియేటర్, ఓపెన్ ఎయిర్ థియేటర్, ఫలహారశాల, పిల్లల పార్కు, ఎకో ఫ్రెండ్లీ కాటేజీలు, ల్యాండ్ స్కేపింగ్ ఈ అన్ని లైట్ హౌజులలో ఏర్పాటవుతాయి"
"By the way, as we are talking of light houses I would also like to tell you about a unique light house",లైట్ హౌజుల గురించి చర్చిస్తున్నాం కాబట్టి ఒక ప్రత్యేకమైన లైట్ హౌస్ గురించి కూడా మీకు చెప్పాలనుకుంటున్నాను
This light house is at a place called Jinjhuwada in Surendra Nagar district of Gujarat,ఈ లైట్ హౌస్ గుజరాత్ లోని సురేంద్ర నగర్ జిల్లాలో జింఝు వాడా అనే ప్రదేశంలో ఉంది
Do you know why this light house is special,"కాని, ఈ లైట్ హౌస్‌లు పర్యాటక పరంగా ప్రత్యేకమైనవి"
"It is special, because now the sea coast is more than a hundred kilometers away from where this light house is",ఈ లైట్ హౌస్ ఎందుకు ప్రత్యేకమైనదో మీకు తెలుసా? సముద్ర తీరం ఈ లైట్ హౌస్ ఉన్న ప్రదేశానికి వంద కిలోమీటర్ల కంటే ఎక్కువ దూరంలో ఉంది
You will find such stones too in thisvillage which tell us that there must have been a busy harbour here in the past,ఇక్కడ ఏదో ఒక సమయంలో ఒక ఓడరేవు ఉందనేందుకు సాక్ష్యంగా ఈ గ్రామంలో మీకు అలాంటి రాళ్ళు కూడా కనిపిస్తాయి
"That means, earlier the coastline was up to Jinjhuwada",అంటే అంతకుముందు తీరప్రాంతం జింఝు వాడా వరకు ఉండేది
"Advancing, receding, moving back, retreating so far away of the sea is also a feature of it","సముద్రం అలలు పైకి లేవడం, వెనుకకు పోవడం, ఇంత దూరం వెళ్ళడం కూడా దాని రూపాల్లో ఒకటి"
This month it is going to be 10 years since the horrifying tsunami that hit Japan,ఈ నెలలో జపాన్‌లో సంభవించిన భారీ సునామీకి 10 సంవత్సరాలు
Thousands of people had lost their lives to this tsunami,ఈ సునామీలో వేలాది మంది ప్రాణాలు కోల్పోయారు
A similar tsunami had hit India in 2004,అలాంటి ఒక సునామీ 2004 లో భారతదేశంలో సంభవించింది
During the tsunami we lost 14 of our employees working at our light house; they were on duty at the light houses in Andaman Nicobar and Tamilnadu,"అండమాన్ నికోబార్లలో, తమిళనాడులో లైట్ హౌజుల్లో పనిచేస్తున్న 14 మంది ఉద్యోగులను సునామీ సమయంలో కోల్పోయాం"
I pay respectful homage to these hard workinglight keepers of ours and have high regard for their work,కష్టపడి పనిచేసే ఈ లైట్ కీపర్లకు నేను సగౌరవంగా నివాళి అర్పిస్తున్నాను
"Dear countrymen, novelty,modernization is essential in all fields of life, otherwise it becomes a burden at times","ప్రియమైన దేశవాసులారా! కొత్తదనం, ఆధునికత జీవితంలోని ప్రతి రంగంలోనూ అవసరం"
Modernization in the field of Indian agriculture is the need of the hour,భారతదేశ వ్యవసాయ ప్రపంచంలో ఆధునికత ఇది నేటి కాలపు డిమాండ్
It is already late,ఇప్పటికే చాలా ఆలస్యమైంది
We have already lost a lot of time,మనం చాలా సమయాన్ని నష్టపోయాం
"Adopting new alternatives, new innovations, along with traditional farming, are equally important to create new opportunities for employment in the agriculture sector; to increase the income of farmers","వ్యవసాయ రంగంలో కొత్త ఉపాధి అవకాశాలను సృష్టించడానికి, రైతుల ఆదాయాన్ని పెంచడానికి సాంప్రదాయ వ్యవసాయంతో పాటు కొత్త ఎంపికలు, కొత్త ఆవిష్కరణలను అవలంబించడం కూడా అంతే అవసరం"
The country has experienced it during the white revolution,శ్వేత విప్లవం సందర్భంగా దేశం దీనిని అనుభవించింది
Now bee farming is emerging as a similar alternative,ఇప్పుడు తేనెటీగల పెంపకం అటువంటి ఎంపికగా ఉంది
Bee farming is becoming the foundation of a honey revolution or sweet revolution in the country,తేనెటీగల పెంపకం దేశంలో తేనె విప్లవం లేదా తీపి విప్లవానికి ఆధారం
"Farmers, in large numbers, of farmers are associating with it; innovating",పెద్ద సంఖ్యలో రైతులు అందులో చేరారు
"Just as a village Gurdum in Darjeeling, West Bengal",పశ్చిమ బెంగాల్‌లోని డార్జిలింగ్‌లో గుర్ దుం అనే గ్రామం ఉంది
"There are steep mountains, geographical problems, and yet, people here started the work of honey bee farming, and today, there is a sizeable demand for honey harvested at this place",కానీ ఇక్కడి ప్రజలు తేనెటీగల పెంపకం పనిని ప్రారంభించారు
This is also increasingthe income of farmers,ఇది రైతుల ఆదాయాన్ని కూడా పెంచుతుంది
The natural organic honey of the Sunderbans areas of West Bengal is in great demand in our country and the world,పశ్చిమ బెంగాల్ లోని సుందర్బన్ ప్రాంతాల సహజ సేంద్రీయ తేనెను ప్రపంచవ్యాప్తంగా ప్రజలు ఇష్టపడతారు
I also have had one such personal experience in Gujarat,నాకు గుజరాత్ నుండి అలాంటి ఒక వ్యక్తిగత అనుభవం కూడా ఉంది
"An event was organized in the year 2016 in Banaskantha, Gujarat",గుజరాత్‌లోని బనాస్ కాంఠ లో 2016 లో ఒక కార్యక్రమం నిర్వహించారు
"In that programme, I had told the people that there were so many possibilities here... why not Banaskantha and the farmers here write a new chapter of the sweet revolution","""బనాస్ కాంఠ రైతులు తీపి విప్లవంలో కొత్త అధ్యాయాన్ని ఎందుకు రాయకూడదు?"" అని అడిగాను"
"You will be happy to know that in such a short time, Banaskantha has become a major centre for honey production",చాలా తక్కువ సమయంలో బనాస్ కాంఠ తేనె ఉత్పత్తికి ప్రధాన కేంద్రంగా మారింది
"Today, farmers of Banaskantha are earning lakhs of rupees annually through honey",బనాస్ కాంఠ రైతులు తేనె నుండి ఏటా లక్షల రూపాయలు సంపాదిస్తున్నారు
"There is a similar example too from Yamuna Nagar, Haryana",అలాంటి ఒక ఉదాహరణ హర్యానాలోని యమునా నగర్‌లో కూడా ఉంది
"In Yamuna Nagar, farmers are producing several hundred tons of honey annually, enhancing their income by doing bee farming",యమునా నగర్ లో రైతులు తేనెటీగ పెంపకం ద్వారా సంవత్సరానికి అనేక వందల టన్నుల తేనెను ఉత్పత్తి చేస్తున్నారు
"The result of this hard work of the farmers is that the production of honey in the country is continuously increasing, and annually, nearly 1",రైతుల ఈ కృషి ఫలితంగా దేశంలో తేనె ఉత్పత్తి నిరంతరం పెరుగుతోంది
"25 lakh tons isproduced, and out of this produce a large quantity of honey is also being exported to foreign countries",అందులో అధిక మొత్తంలో తేనె విదేశాలకు కూడా ఎగుమతి అవుతోంది
"Friends, Honey Bee Farming do not lead to income solely from honey, but bee wax is also a very big source of income",మిత్రులారా! తేనెటీగ పెంపకంలో ఆదాయం కేవలం తేనె నుండి మాత్రమే కాదు
"There is demand for bee wax in everything...pharmaceutical, food, textile and cosmetic industries Our country currently imports bee wax, but, our farmers are now rapidly transforming this situation...that is, in a way contributing in the 'Atmanirbhar Bharat' campaign",అంటే ఒక విధంగా మనం ఆత్మ నిర్భర భారత ప్రచారానికి సహకరిస్తున్నాం
Today the whole world is looking at Ayurveda and Natural Health Products,"ప్రపంచం మొత్తం ఆయుర్వేదం, సహజ ఆరోగ్య ఉత్పత్తుల వైపు చూస్తోంది"
"In such a situation, the demand for honey is increasing even more rapidly","అటువంటి పరిస్థితిలో, తేనె కోసం డిమాండ్ మరింత వేగంగా పెరుగుతోంది"
I wish more and more farmers of our country to join bee farming along with their farming,దేశంలోని ఎక్కువ మంది రైతులు తమ వ్యవసాయంతో పాటు తేనెటీగ పెంపకం కూడా చేయాలని నేను కోరుకుంటున్నాను
This will lead to an increase in the income of the farmers too and will also sweeten their lives,ఇది రైతుల ఆదాయాన్ని కూడా పెంచుతుంది
"My dear countrymen, World Sparrow Day was celebrated just a few days ago",నా ప్రియమైన దేశవాసులారా! కొద్ది రోజుల క్రితం ప్రపంచ పిచ్చుకల దినోత్సవాన్ని జరుపుకున్నాం
"Sparrow that is Goraiya, at places is also known aschakali, or it is also calledchimni, orghanchirika",బిజయ్ గారు ఒడిషాలోని కేంద్రపారాకు చెందినవారు
"Earlier, Goraiyawould be found chirping on theboundaries of the walls of our houses or the neighbouing trees","మన ఇళ్ల గోడలపై, చుట్టుపక్కల చెట్లపై పక్షులు ఉండేవి"
But now people recollectGoraiya by telling you that last they had seen Goraiyawas many years ago,కానీ కొన్ని సంవత్సరాల క్రితం పిట్టలను చూశామని చెప్పడం ద్వారా ఇప్పుడు ప్రజలు పక్షులను గుర్తు తెచ్చుకుంటారు
Today we are required to make efforts to save it,ఈ రోజు మనం వాటిని కాపాడటానికి ప్రయత్నాలు చేయాలి
"My friend hailing from Benaras, Indrapal Singh Batra has initiated a novel effort in this direction that I would like to certainly tell this to the listeners of Mann Ki Baat",నా బెనారస్ సహచరుడు ఇంద్రపాల్ సింగ్ బత్రా గారు అలాంటి పని చేశారు
Batra Ji has turned his own house into home for the Goraiya,బత్రా తన ఇంటిని పక్షుల నివాసంగా చేసుకున్నారు
He got such wooden nests made in his house where theGoraiya could dwell easily,అతను తన ఇంట్లో పక్షులు సులభంగా ఉండేందుకు వీలయ్యే చెక్క గూళ్ళను నిర్మించారు
Today many homes inBenaras are joining this campaign,బెనారస్ లో అనేక ఇళ్ళు ఈ ప్రచారంలో చేరాయి
This has led to creating a wonderful natural environment in the houses,ఇది ఇళ్లలో అద్భుతమైన సహజ వాతావరణాన్ని కూడా సృష్టించింది
"I would like that for nature, environment, animals, birdsor for whomsoever small or big efforts should be made by us","ప్రకృతి, పర్యావరణం, జంతువులు, పక్షుల కోసం మనం కూడా ప్రయత్నాలు చేయాలి"
Just as... a friend Bijay Kumar Kabiji,అలాంటి మరో సహచరుడు బిజయ్ కుమార్ కాబీ గారు
Bijayji hails from Kendrapada in Odisha,బిజయ్ గారు ఒడిషాలోని కేంద్రపారాకు చెందినవారు
Kendrapara is on the sea coast,కేంద్రపారా సముద్ర ఒడ్డున ఉంది
"That's why there are many villages in this district, which are prone to the dangers of high tides and Cyclone","అందువల్ల ఈ జిల్లాలో సముద్ర అలల తాకిడికి, తుఫానుకు గురయ్యే గ్రామాలు చాలా ఉన్నాయి"
This also causes havoc at times,ఇది కొన్ని సమయాల్లో చాలా నష్టాన్ని కలిగిస్తుంది
"Bijoyji felt that if anything can stop this environmental devatation, theonly thing that can stop it, it is only nature",ఈ ప్రకృతి విపత్తును ప్రకృతి మాత్రమే ఆపగలదని బిజయ్ గారు అభిప్రాయపడ్డారు
"That is when Bijayji began his mission from the village of Barakot and for12 years... Friends, toiling for the next 12 years he raised a 25acre mangrove forest on the outskirts of the village towards the sea",పన్నెండు సంవత్సరాలు మిత్రులారా! పన్నెండు సంవత్సరాలు కష్టపడి కష్టపడి పనిచేసి గ్రామం నుండి సముద్రం వైపు 25 ఎకరాల మడ అడవులను తయారు చేశారు
Today this forest is protecting this village,ఈ రోజు ఆ అడవి ఆ గ్రామాన్ని కాపాడుతోంది
An engineer AmreshSamantji has done similar work in Paradip district of Odisha,ఒడిషాలోని పారదీప్ జిల్లాలో అమ్రేష్ సామంత్ అనే ఇంజనీరు ఇలాంటి పని చేశారు
"Amreshji has planted micro forests, which are protecting many villages today",అమ్రేష్ గారు చిన్న అడవులను నాటారు
"Friends, in Endeavour's of thesekinds, if we involve the society,great results accrue",మిత్రులారా! ఈ రకమైన కృషిలో మనం కూడా భాగస్వాములమైతే పెద్ద ఎత్తున మంచి ఫలితాలు వస్తాయి
"For example, there isMarimuthuYoganathan who works as a bus conductor in Coimbatore, Tamil Nadu",ఉదాహరణకు తమిళనాడులోని కోయంబత్తూర్‌లో బస్సు కండక్టర్ గా పనిచేసే మరిముత్తు యోగనాథన్‌గారి కృషి గురించి చెప్పుకుందాం
Yoganathanjiwhile issuing tickets to the passengers of his busalso gives a sapling free of cost,యోగనాథన్ తన బస్సులోని ప్రయాణికులకు టిక్కెట్లు ఇస్తారు
"In this way, Yoganathanji has got planted of innumerable trees","ఈ విధంగా, యోగనాథన్ గారు ఎన్ని చెట్లు నాటారో తెలియదు"
Yoganathanji has been spending a big chunk of his salary towards this work,ఈ పనిలో యోగనాథన్ తన జీతంలో చాలా భాగాన్ని ఖర్చు చేస్తున్నారు
"Now after listening to this story, who as a citizen will not appreciate the work of Marimuthu Yoganathan","ఇప్పుడు ఇది విన్న తరువాత మరిముత్తు యోగనాథన్ కృషిని మెచ్చుకోని పౌరుడు ఎవరైనా ఉంటారా? ఆయన చేస్తున్న ఉత్తేజకరమైన పనికి, ఆయన ప్రయత్నాలకు హృదయపూర్వకంగా అభినందనలు తెలియజేస్తున్నాను"
"I heartily congratulate his efforts, for his inspirational work",ఆయన చేసిన కృషికి ప్రశంసలు అందుకున్నారు
"My dear countrymen, we have all seen, heard and mention to others about converting waste into wealth",నా ప్రియమైన దేశవాసులారా! మనమందరం వ్యర్థాల నుండి బంగారం లేదా కచరా నుండి కాంచనాన్ని తయారు చేయడం గురించి చూశాం
"In the same way, efforts of converting Waste to Value are also being attempted",అదే విధంగా వ్యర్థాలను విలువగా మార్చే పని కూడా జరుగుతోంది
One such example is that of St,చెప్పాలి
"Teresa's College in Kochi, Kerala",అలాంటి ఒక ఉదాహరణ కేరళలోని కొచ్చిలో ఉన్న సెయింట్ తెరెసా కళాశాల
"I remember that in 2017, I attended a programme centred on book reading on the campus of this college",నాకు గుర్తు 2017 లో నేను ఈ కళాశాల ప్రాంగణంలో ఒక పుస్తక పఠన కార్యక్రమానికి హాజరయ్యాను
"Students of this college are making Reusable Toys, that too in a very creative manner",ఈ కళాశాల విద్యార్థులు పునర్వినియోగ బొమ్మలను తయారు చేస్తున్నారు అది కూడా చాలా సృజనాత్మకంగా
"These students are converting old clothes, discarded wooden pieces, bags and Boxes into making toys","ఈ విద్యార్థులు బొమ్మలు తయారు చేయడానికి పాత బట్టలు, పడేసిన చెక్క ముక్కలు, సంచులు , పెట్టెలను ఉపయోగిస్తున్నారు"
Some students are making a puzzle while another make a car orconstruct a train,"ఒక విద్యార్థి ఒక పజిల్ ను తయారు చేస్తే మరి కొందరు కారు, రైలును తయారు చేస్తున్నారు"
"Here, special attention is paid to ensure that the toys are safe as well as child friendly",బొమ్మలు సురక్షితంగా ఉండటంతో పాటు పిల్లలకు స్నేహపూర్వకంగా ఉండడంపై ఇక్కడ ప్రత్యేక శ్రద్ధ వహిస్తారు
And a good thing about this whole effort is that these toys are given to the Anganwadi children for them to play with,ఈ మొత్తం కృషిలో మంచి విషయం ఏమిటంటే ఈ బొమ్మలను అంగన్వాడీ పిల్లలకు ఆడడానికి ఇస్తారు
"Today, while India is moving much forward in the manufacturing of toys, these campaigns from Waste to Value, these ingenious experiments mean a lot","బొమ్మల తయారీలో దేశం ప్రగతి సాధించడంలో వ్యర్థాల నుండి విలువ రాబట్టే ఈ ఉద్యమాలు, ఈ వినూత్న ప్రయోగాలు చాలా ముఖ్యమైనవి"
"There is Professor Srinivasa Padkandlaji in Vijayawada, Andhra Pradesh",ఆంధ్రప్రదేశ్‌లోని విజయవాడలో ప్రొఫెసర్ శ్రీనివాస్ పదకాండ్ల గారు చాలా ఆసక్తికరమైన పని చేస్తున్నారు
He isdoing very interesting work,ఆనందకరమైన విషయం
He has created sculptures from Automobile Metal Scrap,ఆయన వాహనాల తుక్కు నుండి శిల్పాలను సృష్టించారు
These huge sculptures made by him have been installed in public parks and people watch these with great enthusiasm,ఆయన రూపొందించిన ఈ భారీ శిల్పాలను పబ్లిక్ పార్కులలో ఏర్పాటు చేశారు
This is an innovative experiment with Electronic and Automobile Waste Recycling,"ఎలక్ట్రానిక్ , ఆటోమొబైల్ రంగాల్లోని వ్యర్థాలను రీసైక్లింగ్ చేయడంలో ఇది ఒక వినూత్న ప్రయోగం"
I once again applaud these efforts of Kochi and Vijayawada and hope that a greater number of people will come forward in such efforts,"కొచ్చి, విజయవాడలలో జరుగుతున్న ఈ ప్రయత్నాలను నేను మరోసారి అభినందిస్తున్నాను"
"My dear countrymen, when people of India visit any corner of the world, they proudly say that they are Indians",నా ప్రియమైన దేశ వాసులారా! భారతదేశ ప్రజలు ప్రపంచంలోని ఏ మూలకు వెళ్ళినా తాము భారతీయులమని గర్వంగా చెప్తారు
"We have a lot to be proud of...Our yoga, Ayurveda, philosophy and what not","మన యోగా, ఆయుర్వేదం, తత్వశాస్త్రం ఇలా మన దగ్గర లేనిది ఏముంది? ఈ విషయాలలో మనకు చాలా గర్వంగా ఉంటుంది"
That we talk about with pride,ఇది నాకు చాలా గర్వకారణం
"We are as well proud of our local language, dialect, identity, dress, food and drink","అలాగే మన స్థానిక భాష, మాండలికం, గుర్తింపు, శైలి, అన్నపానీయాల గురించి కూడా గర్వపడుతున్నాం"
We have to attain the new... for that is what life is but at the same time we don't have to lose our past,"కానీ అదే సమయంలో ప్రాచీనతను, సాంప్రదాయాలను కోల్పోకూడదు"
"We have to work really hard to enrich the immense cultural heritage around us, for it to be passed on tothe new generation","మన చుట్టూ ఉన్న అపారమైన సాంస్కృతిక వారసత్వాన్ని ప్రోత్సహించడానికి, కొత్త తరానికి అందించడానికి మనం కృషి చేయాలి"
"Today, Sikari Tissau, who lives in Assam, is doing this very diligently",అస్సాంలో నివసించే సికారి టిస్సౌ చాలా అంకితభావంతో దీన్ని చేస్తున్నారు
Sikari Tissau ji of Karbi Anglong district has been documenting the Karbi language for the last 20 years,కర్బీ ఆంగ్లాంగ్ జిల్లాకు చెందిన సికారి టిస్సౌ గారు గత 20 సంవత్సరాలుగా కార్బీ భాషను డాక్యుమెంట్ చేస్తున్నారు
